name,description
" Mission: Impossible - Dead Reckoning Part One ","2023 PG-13 2h 43m;Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.824 User reviews 284 Critic reviews 81 Metascore;Director:Christopher McQuarrie;Writers:Bruce GellerErik JendresenChristopher McQuarrie"
Sound of Freedom,"2023 PG-13 2h 11m The incredible true story of a former government agent turned vigilante who embarks on a dangerous mission to rescue hundreds of children from sex traffickers.: 1.1K User reviews; 49 Critic reviews ;43 Metascore; Director: Alejandro Monteverde: Writers: Rod BarrAlejandro Monteverde"
Oppenheimer,"2023 R 3h The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb. 1.3K User reviews;199 Critic reviews; 89 Metascore;Director :Christopher Nolan;Writers: Christopher NolanKai BirdMartin Sherwin"
Barbie,"2023 PG-13 1h 54m Barbie suffers a crisis that leads her to question her world and her existence. 559 User reviews; 146 Critic reviews;80 Metascore;Director: Greta Gerwig; Writers: Greta GerwigNoah Baumbach"
The Out-Laws,"2023 R 1h 35m A straight-laced bank manager about to marry the love of his life. When his bank is held up by infamous Ghost Bandits during his wedding week, he believes his future in-laws who just arrived in town, are the infamous Out-Laws.197 User reviews; 55 Critic reviews; 36 Metascore"
Indiana Jones and the Dial of Destiny,"2023 PG-13 2h 34m Archaeologist Indiana Jones races against time to retrieve a legendary artifact that can change the course of history.1.1K User reviews;303 Critic reviews;58 Metascore; Director: James Mangold; Writers:Jez ButterworthJohn-Henry ButterworthDavid Koepp"
Wonka,"2023 R 2h 38m;The film takes a personal look at Napoleon Bonaparte's origins, and his swift, ruthless climb to emperor viewed through the prism of his addictive, and often volatile, relationship with his wife and one true love, Josephine.;Director :Ridley Scott;Writer:David Scarpa"
